cycle     valid           data_out_1        data_out_2  
189       1         1101011000101010  1101100000110111  
190       1         0000010101000101  1111100011001101  
191       1         1111111100110001  0000100111100010  
192       1         0000000101010110  1111101100011010  
193       1         1100110000001110  0011000101100100  
194       1         0000111101110000  1111011100111110  
195       1         0001011010010110  1111111001000111  
196       1         0001011100110000  1110010110001000  
197       1         0010001111110000  1101100011101011  
198       1         0000000001010000  1111100111000000  
199       1         1100100110011101  1110100010110001  
200       0                     ----              ----  
201       1         1111100101000011  0000011000110011  
202       0                     ----              ----  
203       0                     ----              ----  
204       1         0000111100011000  0000011110001100  
205       1         0000001111000000  0001101011000000  
206       1         0000000000000110  1111111111111000  
207       1         0000000000000000  0000001001011010  
208       1         0000111011101000  0000010011000011  
209       1         1111110100011010  0001001111100000  
210       1         1101000010111100  1111110100101010  
211       1         0000000101001101  0000000011101101  
212       1         0001100110101100  1101011001011000  
213       1         0000011011111001  1100101100000010  
214       1         0000000000100100  0000001101100000  
215       1         0000000001101000  0000000000001000  
216       1         0000000110111000  0000000010100101  
217       0                     ----              ----  
218       1         0000100010011101  0000001011011111  
219       0                     ----              ----  
220       0                     ----              ----  
221       1         1111111110010111  1111111110010100  
222       0                     ----              ----  
223       1         1110011101011101  1111111101100001  
224       0                     ----              ----  
225       0                     ----              ----  
226       1         0001100001001111  1111111011011010  
227       1         1110110011001110  1111011001001100  
228       0                     ----              ----  
229       1         1110111000000111  1100110101101101  
230       1         1101110100110010  1110000101110011  
231       1         0000000011011000  1111111111111010  
232       1         0000000101110001  1111111010011000  
233       1         1111110010001110  0000001011000011  
234       1         0000001100111010  0000000001110110  
235       0                     ----              ----  
236       0                     ----              ----  
237       0                     ----              ----  
238       1         1111111101111111  1111000100001101  
239       0                     ----              ----  
240       1         1100111110101001  0010101000100111  
241       0                     ----              ----  
242       1         1111111111110000  1111110010001000  
243       1         1110010011100000  1110100011000000  
244       1         1111111010010101  1111111011001110  
245       0                     ----              ----  
246       1         1110100101111101  0000011101011111  
247       1         0000001110111000  1111110000000000  
248       1         1111111001101000  0000000101000100  
249       0                     ----              ----  
250       0                     ----              ----  
251       1         1111101000011000  1110101001111100  
252       1         1111101111101011  1111100010010100  
253       1         0000001100011110  1111111110001110  
254       1         1111110101000010  0001110101000000  
255       1         0000001011010110  1111011101111110  
256       0                     ----              ----  
257       1         0000001101101011  1111110110101101  
258       0                     ----              ----  
259       1         0000001110011101  0001000101011000  
260       0                     ----              ----  
261       1         0000000001100100  1111111001010100  
262       1         0010110010110101  1101001011011110  
263       1         1111111111110111  1111111111111111  
264       1         1111110111011010  0000000000001111  
265       0                     ----              ----  
266       1         1111100000001000  0011100010111000  
267       1         0000001111011000  0000001001001000  
268       0                     ----              ----  
269       1         1111111010001001  1111111011001011  
270       0                     ----              ----  
271       1         1100100001110000  0000000011100000  
272       1         0000010000111000  0000000001000110  
273       1         0000000110101000  1111111111110100  
274       1         0000011001001100  1111101010000100  
275       1         0000000001010100  0000100001110011  
276       0                     ----              ----  
277       1         1101001010010100  1111110011100010  
278       0                     ----              ----  
279       0                     ----              ----  
280       1         0000000000010111  1111011010111111  
281       0                     ----              ----  
282       0                     ----              ----  
283       1         1110010000111101  1101000000011111  
284       1         1111111010010010  1111111110011010  
285       0                     ----              ----  
286       1         1111111100001010  1111101110101101  
287       1         1111110100000110  0000000000000000  
288       1         0000001110000110  0000001010010100  
289       1         0000011111110010  0010111110101100  
290       1         1100111111100011  0010011100101100  
291       1         1100110000001110  1111110110011110  
292       1         1111111111011110  0000000001010101  
293       1         1111111011011001  1110100010111001  
294       0                     ----              ----  
295       1         0010100101101000  0010010010111000  
296       1         0000000000101101  1111101110011011  
297       0                     ----              ----  
298       0                     ----              ----  
299       1         1101111110110000  0000000010110000  
300       1         1111111110100100  1101100000011100  
301       0                     ----              ----  
302       1         0000000000001001  1111101110110110  
303       0                     ----              ----  
304       1         1110100001000101  1111111011010100  
305       1         1111000110000000  0000101010000000  
306       0                     ----              ----  
307       1         1101010000100101  0011000010101111  
308       1         0011101110010100  1100011011010011  
309       0                     ----              ----  
310       0                     ----              ----  
311       1         0011000000100000  0011011100100000  
312       0                     ----              ----  
313       0                     ----              ----  
314       1         0000000101100011  1111111111010011  
315       1         0001000000111110  0001100001011101  
316       1         0001111110000000  0000010010000000  
317       1         0001110011110100  1111000001010100  
318       1         0000000111111110  0000000110000001  
319       1         1110100111001001  1110111010111110  
320       1         0000000000000100  1111111111111001  
321       0                     ----              ----  
322       1         0001001011000000  0001011011011010  
323       0                     ----              ----  
324       1         0000001100101100  1111110011010100  
325       0                     ----              ----  
326       1         1111100001010111  1110110011110100  
327       1         1101101000111000  0000000111110000  
328       1         0000001101110000  0000010110000000  
329       1         0000001001011010  0000001011001010  
330       1         1111111000010000  1110010101011100  
331       0                     ----              ----  
332       1         0001100010110010  1100111100001001  
333       0                     ----              ----  
334       1         1111111111111101  1111111110011001  
335       0                     ----              ----  
336       0                     ----              ----  
337       1         0001011110010000  1101011000101000  
338       0                     ----              ----  
339       1         1100111011001000  1101001000010000  
340       1         1110110000100110  0000000000000000  
341       0                     ----              ----  
342       0                     ----              ----  
343       1         1100001101110110  0010111110010001  
344       1         0010011111111011  1101001000101110  
345       1         0000001110101000  1111110101001000  
346       1         0010101111010100  1101010111000100  
347       1         0011000001111100  0000001111000011  
348       1         0000000000000000  0000000000000000  
349       1         0000000000110011  1110011100011001  
350       0                     ----              ----  
351       1         1111000001011011  0001100100001000  
352       1         1111111111111101  1111111010111100  
353       1         0000000010011010  1111110111100101  
354       1         1111111110000111  0011000100101000  
355       1         0011001110000101  0010010101010111  
356       1         0000000110011101  1111100111000111  
357       0                     ----              ----  
358       1         0000001011111000  1111111010000100  
359       1         0000000001010110  1111111101101010  
360       1         1111110010000111  0000000000110001  
361       0                     ----              ----  
362       1         1111111110010111  1101001000010000  
363       1         1111110001000000  1111111111001000  
364       1         0010010001010000  1111111001100001  
365       1         1111111111111000  1111111111110000  
366       1         1110101001001001  0001100101001101  
367       1         1100010101110110  1110110000101110  
368       1         0000000010111010  0000010111101111  
369       1         0000000001001100  0000000110110100  
370       1         1111111001001000  0000000110111000  
371       1         1111100010011110  0001110110001000  
372       1         1111011110100010  1110101110101110  
373       1         0000001001101111  1111110100010011  
374       1         0011000011001111  0010110001001100  
375       1         0000101111100000  0001001001000010  
376       1         1100110011110100  1101000001000011  
377       1         0000010101111100  0000101011111000  
378       1         1111110110110010  0000000111110100  
379       1         1111111111000000  0000000001010100  
380       0                     ----              ----  
381       0                     ----              ----  
382       1         1111110010000000  0000000000010000  
383       1         1111000101110100  1110110000011000  
384       1         1111111110101100  0000000001110010  
385       0                     ----              ----  
386       0                     ----              ----  
387       1         1111010111010100  1111111111101011  
